CustomerID,CustomerEmail,Country,Membership,SignUpDate,LastOrderDate,TotalSpent,Customer Communication Log
1,marketfan7271@bestdeals.com,Canada,Premium,2022-01-01 00:00:00,2023-01-01 00:00:00,7194.105316,2022-09-01: Inquiry about payment issues
2,dealhunter5763@buyeasy.com,Germany,VIP,2022-01-02 00:00:00,2023-01-02 00:00:00,1296.928323,2022-06-25: Feedback about payment issues; 2022-02-01: Request regarding order status; 2022-02-19: Complaint about payment issues
3,dealhunter6659@buyeasy.com,Australia,VIP,2022-01-03 00:00:00,2023-01-03 00:00:00,2253.084133,2022-10-29: Inquiry about product availability
4,buyer3839@eshop.com,UK,VIP,2022-01-04 00:00:00,2023-01-04 00:00:00,1456.792498,2022-11-25: Complaint about payment issues
5,shopper6911@eshop.com,Canada,VIP,2022-01-05 00:00:00,2023-01-05 00:00:00,715.9549676,2022-08-07: Complaint about product availability
6,marketfan7795@buyeasy.com,Australia,Standard,2022-01-06 00:00:00,2023-01-06 00:00:00,3021.299625,2022-07-23: Inquiry regarding order status; 2022-12-08: Complaint about product availability; 2022-12-17: Request about delayed delivery
7,marketfan5992@bestdeals.com,UK,VIP,2022-01-07 00:00:00,2023-01-07 00:00:00,8336.630557,2022-01-25: Inquiry about delayed delivery
8,dealhunter7923@eshop.com,Australia,Premium,2022-01-08 00:00:00,2023-01-08 00:00:00,2902.733464,2022-06-07: Complaint about delayed delivery; 2022-08-08: Complaint about membership benefits
9,marketfan2070@buyeasy.com,UK,Standard,2022-01-09 00:00:00,2023-01-09 00:00:00,9426.147161,2022-02-03: Inquiry about payment issues; 2022-05-17: Complaint about membership benefits
10,shopper9768@shopworld.com,UK,VIP,2022-01-10 00:00:00,2023-01-10 00:00:00,8875.906305,2022-11-18: Request about payment issues; 2022-07-24: Request regarding order status; 2022-03-24: Feedback about delayed delivery
11,dealhunter4039@shopworld.com,USA,Premium,2022-01-11 00:00:00,2023-01-11 00:00:00,9110.138631,2022-07-19: Feedback about product availability; 2022-09-28: Complaint about membership benefits
12,shopper6927@buyeasy.com,USA,Standard,2022-01-12 00:00:00,2023-01-12 00:00:00,3104.189481,2022-02-02: Feedback about product availability; 2022-11-18: Request for more information on a product; 2022-05-25: Feedback regarding order status
13,buyer3149@shopworld.com,UK,Premium,2022-01-13 00:00:00,2023-01-13 00:00:00,8988.364065,2022-02-12: Request about payment issues; 2022-06-22: Inquiry about membership benefits
14,buyer1376@buyeasy.com,Australia,Premium,2022-01-14 00:00:00,2023-01-14 00:00:00,4250.413644,2022-10-03: Inquiry regarding order status; 2022-07-08: Inquiry about membership benefits
15,shopper7781@bestdeals.com,Canada,VIP,2022-01-15 00:00:00,2023-01-15 00:00:00,6631.55629,2022-01-26: Request about membership benefits; 2022-12-29: Feedback for more information on a product; 2022-08-24: Inquiry about payment issues
16,buyer6596@bestdeals.com,UK,Premium,2022-01-16 00:00:00,2023-01-16 00:00:00,754.132851,2022-08-30: Feedback for more information on a product
17,marketfan6034@eshop.com,Germany,VIP,2022-01-17 00:00:00,2023-01-17 00:00:00,4967.239764,2022-09-09: Complaint about membership benefits; 2022-10-31: Complaint about product availability; 2022-03-04: Inquiry about product availability
18,shopper3933@bestdeals.com,Australia,Standard,2022-01-18 00:00:00,2023-01-18 00:00:00,6194.894515,2022-10-31: Request regarding order status; 2022-11-13: Request regarding order status
19,shopper3190@bestdeals.com,Germany,VIP,2022-01-19 00:00:00,2023-01-19 00:00:00,5619.112589,2022-04-25: Feedback about payment issues; 2022-12-22: Feedback about membership benefits; 2022-01-20: Feedback about payment issues
20,shopper1299@buyeasy.com,Germany,Premium,2022-01-20 00:00:00,2023-01-20 00:00:00,5891.292901,2022-07-23: Inquiry about product availability; 2022-12-16: Inquiry about delayed delivery; 2022-08-11: Inquiry regarding order status
21,dealhunter1092@eshop.com,Canada,Premium,2022-01-21 00:00:00,2023-01-21 00:00:00,1089.899915,2022-02-03: Request regarding order status
22,shopper1835@buyeasy.com,UK,Premium,2022-01-22 00:00:00,2023-01-22 00:00:00,6655.482,2022-09-10: Request regarding order status; 2022-11-12: Request about payment issues; 2022-07-02: Feedback for more information on a product
23,dealhunter6773@buyeasy.com,Australia,VIP,2022-01-23 00:00:00,2023-01-23 00:00:00,4939.722253,2022-11-10: Feedback for more information on a product; 2022-05-27: Feedback for more information on a product
24,buyer7760@shopworld.com,Germany,Premium,2022-01-24 00:00:00,2023-01-24 00:00:00,837.02853,2022-05-10: Request for more information on a product
25,marketfan3210@bestdeals.com,Germany,Standard,2022-01-25 00:00:00,2023-01-25 00:00:00,9389.72202,2022-04-28: Feedback regarding order status; 2022-08-20: Complaint for more information on a product; 2022-03-30: Inquiry about delayed delivery
26,shopper7903@eshop.com,UK,Standard,2022-01-26 00:00:00,2023-01-26 00:00:00,4859.00122,2022-07-29: Inquiry for more information on a product; 2022-02-26: Request about product availability
